delta,Run,Recycle_Rate
0.1,0,0.9
0.1,1,0.91
0.1,2,0.97
0.1,3,0.86
0.1,4,0.87
0.1,5,0.91
0.1,6,0.9
0.1,7,0.87
0.1,8,0.92
0.1,9,0.87
0.2,10,0.9
0.2,11,0.91
0.2,12,0.94
0.2,13,0.9
0.2,14,0.87
0.2,15,0.94
0.2,16,0.93
0.2,17,0.95
0.2,18,0.9
0.2,19,0.92
0.30000000000000004,20,0.92
0.30000000000000004,21,0.88
0.30000000000000004,22,0.89
0.30000000000000004,23,0.93
0.30000000000000004,24,0.91
0.30000000000000004,25,0.86
0.30000000000000004,26,0.9
0.30000000000000004,27,0.9
0.30000000000000004,28,0.84
0.30000000000000004,29,0.91
0.4,30,0.89
0.4,31,0.91
0.4,32,0.89
0.4,33,0.89
0.4,34,0.87
0.4,35,0.88
0.4,36,0.9
0.4,37,0.92
0.4,38,0.91
0.4,39,0.92
0.5,40,0.89
0.5,41,0.94
0.5,42,0.94
0.5,43,0.93
0.5,44,0.89
0.5,45,0.87
0.5,46,0.9
0.5,47,0.87
0.5,48,0.88
0.5,49,0.87
0.6,50,0.88
0.6,51,0.91
0.6,52,0.84
0.6,53,0.84
0.6,54,0.9
0.6,55,0.95
0.6,56,0.87
0.6,57,0.9
0.6,58,0.91
0.6,59,0.93
0.7000000000000001,60,0.94
0.7000000000000001,61,0.88
0.7000000000000001,62,0.86
0.7000000000000001,63,0.91
0.7000000000000001,64,0.91
0.7000000000000001,65,0.95
0.7000000000000001,66,0.88
0.7000000000000001,67,0.89
0.7000000000000001,68,0.91
0.7000000000000001,69,0.92
0.8,70,0.86
0.8,71,0.85
0.8,72,0.92
0.8,73,0.9
0.8,74,0.95
0.8,75,0.92
0.8,76,0.91
0.8,77,0.88
0.8,78,0.92
0.8,79,0.9
0.9,80,0.86
0.9,81,0.85
0.9,82,0.9
0.9,83,0.89
0.9,84,0.92
0.9,85,0.88
0.9,86,0.92
0.9,87,0.88
0.9,88,0.87
0.9,89,0.86
1.0,90,0.92
1.0,91,0.89
1.0,92,0.91
1.0,93,0.92
1.0,94,0.94
1.0,95,0.86
1.0,96,0.93
1.0,97,0.89
1.0,98,0.96
1.0,99,0.89
